Convert susp_529...done	2.2915 mins
Convert susp_682...done	3.8935000000000004 mins
Convert susp_640...done	6.433666666666666 mins
Convert susp_473...done	4.985333333333333 mins
Convert susp_963...done	3.6656666666666666 mins
Convert susp_526...done	0.678 mins
Convert susp_276...done	1.5193333333333332 mins
Convert susp_265...done	2.4050000000000002 mins
Convert susp_956...done	2.806833333333333 mins
Convert susp_362...done	4.089166666666666 mins
Convert susp_206...done	4.550666666666667 mins
Convert susp_467...done	2.1768333333333336 mins
Convert susp_957...done	5.706666666666666 mins
Convert susp_729...done	3.753333333333333 mins
Convert susp_825...done	5.3205 mins
Convert susp_488...done	4.134666666666667 mins
Convert susp_517...done	3.503333333333333 mins
Convert susp_424...done	4.05 mins
Convert susp_85...done	3.2265 mins
Convert susp_920...done	3.7146666666666666 mins
Convert susp_273...done	3.1205 mins
Convert susp_785...done	2.6308333333333334 mins
Convert susp_585...done	3.582333333333333 mins
Convert susp_520...done	6.235166666666667 mins
Convert susp_478...done	3.393333333333333 mins
Convert susp_653...done	4.245833333333334 mins
Convert susp_318...done	3.1338333333333335 mins
Convert susp_162...done	2.3325 mins
Convert susp_918...done	7.8315 mins
Convert susp_884...done	5.283166666666667 mins
Convert susp_231...done	4.049166666666666 mins
Convert susp_208...done	4.400499999999999 mins
Convert susp_597...done	3.5175 mins
Convert susp_136...done	3.7584999999999997 mins
Convert susp_792...done	2.4361666666666664 mins
Convert susp_304...done	4.591666666666667 mins
Convert susp_803...done	4.7725 mins
Convert susp_416...done	2.560166666666667 mins
Convert susp_787...done	4.4425 mins
Convert susp_678...done	1.7426666666666668 mins
Convert susp_250...done	2.4285 mins
Convert susp_545...done	3.2715 mins
Convert susp_596...done	5.674 mins
Convert susp_14...done	3.591666666666667 mins
Convert susp_734...done	3.6371666666666664 mins
Convert susp_236...done	2.7096666666666667 mins
Convert susp_838...done	3.4074999999999998 mins
Convert susp_140...done	3.2921666666666667 mins
Convert susp_586...done	4.105166666666666 mins
Convert susp_385...done	2.642333333333333 mins
Convert susp_466...done	4.568666666666667 mins
Convert susp_807...done	4.774666666666667 mins
Convert susp_341...done	4.440333333333333 mins
Convert susp_701...done	3.835 mins
Convert susp_862...done	3.0363333333333333 mins
Convert susp_984...done	5.645666666666667 mins
Convert susp_647...done	3.9381666666666666 mins
Convert susp_663...done	8.088166666666668 mins
Convert susp_326...done	4.08 mins
Convert susp_802...done	6.8116666666666665 mins
Convert susp_102...done	4.5145 mins
Convert susp_13...done	2.9875 mins
Convert susp_724...done	5.354166666666667 mins
Convert susp_917...done	3.0496666666666665 mins
Convert susp_245...done	4.6855 mins
Convert susp_266...done	3.8213333333333335 mins
Convert susp_906...done	6.2115 mins
Convert susp_455...done	4.414833333333333 mins
Convert susp_930...done	4.952 mins
Convert susp_23...done	6.2011666666666665 mins
Convert susp_308...done	2.7064999999999997 mins
Convert susp_539...done	4.2265 mins
Convert susp_131...done	2.791 mins
Convert susp_469...done	4.3875 mins
Convert susp_970...done	5.366333333333333 mins
Convert susp_389...done	7.093500000000001 mins
Convert susp_883...done	2.3081666666666667 mins
Convert susp_445...done	2.940166666666667 mins
Convert susp_904...done	3.0255 mins
Convert susp_553...done	3.7969999999999997 mins
Convert susp_761...done	3.317 mins
Convert susp_346...done	4.309833333333333 mins
Convert susp_2...done	3.7681666666666667 mins
Convert susp_195...done	4.589166666666667 mins
Convert susp_558...done	2.8386666666666667 mins
Convert susp_871...done	5.654 mins
Convert susp_239...done	3.6651666666666665 mins
Convert susp_156...done	3.071833333333333 mins
Convert susp_352...done	3.3885 mins
Convert susp_907...done	7.035 mins
Convert susp_909...done	3.8845 mins
Convert susp_457...done	1.7821666666666667 mins
Convert susp_672...done	3.3048333333333333 mins
Convert susp_476...done	3.3680000000000003 mins
Convert susp_662...done	4.312 mins
Convert susp_813...done	5.075166666666666 mins
Convert susp_177...done	2.6943333333333332 mins
Convert susp_544...done	3.2613333333333334 mins
Convert susp_843...done	3.7703333333333333 mins
Convert susp_679...done	5.602833333333334 mins
Convert susp_987...done	4.1530000000000005 mins
Convert susp_951...done	4.020333333333333 mins
Convert susp_361...done	3.0806666666666667 mins
Convert susp_515...done	4.608333333333333 mins
Convert susp_569...done	4.6405 mins
Convert susp_32...done	4.587000000000001 mins
Convert susp_611...done	4.4383333333333335 mins
Convert susp_217...done	3.6643333333333334 mins
Convert susp_317...done	3.4560000000000004 mins
Convert susp_219...done	4.021333333333334 mins
Convert susp_579...done	2.780333333333333 mins
Convert susp_826...done	3.719 mins
Convert susp_417...done	3.863 mins
Convert susp_347...done	2.575 mins
Convert susp_189...done	4.484 mins
Convert susp_458...done	3.5223333333333335 mins
Convert susp_810...done	4.782166666666667 mins
Convert susp_220...done	3.4891666666666667 mins
Convert susp_926...done	4.980666666666666 mins
Convert susp_204...done	7.036666666666666 mins
Convert susp_202...done	5.025166666666666 mins
Convert susp_293...done	6.662333333333334 mins
Convert susp_827...done	3.068166666666667 mins
Convert susp_155...done	5.692666666666667 mins
Convert susp_594...done	4.537999999999999 mins
Convert susp_263...done	5.0885 mins
Convert susp_397...done	3.234666666666667 mins
Convert susp_426...done	3.7560000000000002 mins
